ゎぐぐつ,40,ちからじまん,159,45,132,26,62
ゑぱしる,40,ちからじまん,187,52,115,11,40
をひぃぉ,40,ちからじまん,187,47,140,36,65
ぜぬぺと,40,ちからじまん,179,49,135,25,62
じぴでど,40,ちからじまん,169,54,161,26,55
ぜざゑめ,40,ちからじまん,170,47,149,18,63
よがすじ,40,ちからじまん,172,47,132,25,47
わもじお,40,ちからじまん,149,48,112,25,62
ゑとこし,40,ちからじまん,151,50,133,37,50
りらぴつ,40,ちからじまん,164,37,143,28,54
いゅぐょ,40,ちからじまん,183,47,140,26,61
ぉごげす,40,ちからじまん,197,59,143,32,63
ぇばるか,40,ちからじまん,136,53,137,29,50
いずぉぇ,40,ちからじまん,160,48,150,30,44
ぅもおそ,40,ちからじまん,145,39,143,24,55
やをにめ,40,ちからじまん,176,48,125,25,47
ぢおいろ,40,ちからじまん,158,51,124,22,62
はごそろ,40,ちからじまん,166,51,168,18,59
りぢぢお,40,ちからじまん,158,48,143,29,54
そぎおぶ,40,ちからじまん,138,42,149,25,59
むをぽぁ,40,ちからじまん,160,44,138,24,53
ばてこざ,40,ちからじまん,163,41,129,25,41
でげみぇ,40,ちからじまん,134,47,150,32,54
ょるぼり,40,ちからじまん,138,40,138,25,66
ゑへゎぼ,40,ちからじまん,169,54,132,21,71
をつぐな,40,ちからじまん,130,48,134,28,59
ゃびゆげ,40,ちからじまん,156,50,117,30,70
いがぃよ,40,ちからじまん,173,58,139,17,50
かぺゐる,40,ちからじまん,174,41,135,24,60
っぐれへ,40,ちからじまん,151,45,128,32,65
すみぐむ,40,ちからじまん,141,45,139,27,57
ゅすまむ,40,ちからじまん,178,50,148,29,58
がゃざど,40,ちからじまん,192,41,132,30,59
めぇへご,40,ちからじまん,148,51,162,26,69
ねちぉろ,40,ちからじまん,147,42,133,25,65
ぶっすや,40,ちからじまん,177,39,158,23,65
びどだよ,40,ちからじまん,145,45,140,20,58
ぴのそと,40,ちからじまん,165,48,138,31,57
でせどば,40,ちからじまん,167,46,117,31,61
わらぬづ,40,ちからじまん,152,47,142,18,55
ふかたぁ,40,ちからじまん,185,62,129,24,65
っぱべこ,40,ちからじまん,164,38,133,22,64
くえぉも,40,ちからじまん,143,51,160,23,49
ぽぅのな,40,ちからじまん,171,45,125,24,59
わぺふに,40,ちからじまん,177,52,126,30,71
そぞぉほ,40,ちからじまん,135,54,130,22,53
さょぷり,40,ちからじまん,165,52,131,28,54
うがじび,40,ちからじまん,164,41,118,25,41
あぺずら,40,ちからじまん,167,47,141,27,54
ぶべげぼ,40,ちからじまん,174,42,141,22,56
がめゎぬ,40,ちからじまん,178,38,155,28,56
きぁひみ,40,ちからじまん,169,47,143,29,59
にあだれ,40,ちからじまん,160,56,134,26,60
えぎばゃ,40,ちからじまん,171,50,119,19,50
うまだゅ,40,ちからじまん,162,50,152,27,56
かゆよゃ,40,ちからじまん,172,45,151,27,54
きさわと,40,ちからじまん,167,48,175,29,59
ほゆさう,40,ちからじまん,148,45,131,22,71
がもざせ,40,ちからじまん,163,43,149,24,68
てがぢせ,40,ちからじまん,162,52,120,24,57
めねこゆ,40,ちからじまん,188,42,140,28,57
どべてい,40,ちからじまん,176,58,133,22,62
えゆみと,40,ちからじまん,148,47,159,23,58
げぉぉそ,40,ちからじまん,191,44,117,21,52
じはぬむ,40,ちからじまん,164,61,148,31,55
ゅづのし,40,ちからじまん,195,51,141,30,63
ぎふげで,40,ちからじまん,172,40,136,23,64
ざびもぢ,40,ちからじまん,168,42,137,28,50
びであわ,40,ちからじまん,156,54,141,26,49
ざなぼぅ,40,ちからじまん,133,53,140,22,57
へいゑぃ,40,ちからじまん,184,50,151,27,50
くごぢる,40,ちからじまん,158,48,147,29,60
ねぴこえ,40,ちからじまん,173,58,151,26,49
さぷてわ,40,ちからじまん,177,40,127,25,60
まべざゃ,40,ちからじまん,191,41,132,22,56
ぬみぜじ,40,ちからじまん,169,50,130,22,55
らまゃよ,40,ちからじまん,165,52,117,23,69
ぬむじゅ,40,ちからじまん,173,53,132,35,64
やゃゐか,40,ちからじまん,146,49,130,21,58
さずぷて,40,ちからじまん,156,38,131,27,68
ぁゑろぉ,40,ちからじまん,146,52,160,21,64
ぶかぜね,40,ちからじまん,192,51,127,24,61
そぃじぶ,40,ちからじまん,147,44,124,30,66
くてぬぴ,40,ちからじまん,159,54,148,25,67
ちまげみ,40,ちからじまん,171,51,165,28,59
げはれぱ,40,ちからじまん,174,58,126,27,50
めけあど,40,ちからじまん,203,50,169,28,55
ぴばぶぽ,40,ちからじまん,150,51,117,21,71
ぢぶぜる,40,ちからじまん,141,53,137,25,47
ちすずな,40,ちからじまん,153,45,128,24,60
ゃきむつ,40,ちからじまん,159,51,143,31,48
みいひげ,40,ちからじまん,166,54,158,29,67
りまたす,40,ちからじまん,165,56,144,22,69
ゐかこた,40,ちからじまん,131,42,134,19,74
れちによ,40,ちからじまん,171,49,145,26,39
さねてわ,40,ちからじまん,167,41,132,26,61
やきぱゆ,40,ちからじまん,169,39,166,19,71
めづがち,40,ちからじまん,141,48,147,29,60
ぽりふき,40,ちからじまん,202,47,145,28,63
しゃぷぬ,40,ちからじまん,167,42,116,26,61
ばぇっね,40,ごうけつ,177,31,120,31,55
くっぬぇ,40,ごうけつ,173,49,155,34,46
ほいしょ,40,ごうけつ,192,40,156,18,53
こぶかな,40,ごうけつ,163,37,136,21,40
いべれせ,40,ごうけつ,193,38,132,27,60
ぬぺこふ,40,ごうけつ,177,33,157,38,56
ぐえはぁ,40,ごうけつ,165,31,145,25,59
ぜるくべ,40,ごうけつ,204,45,147,32,42
ゎつさを,40,ごうけつ,190,49,136,33,50
がぶれぱ,40,ごうけつ,161,41,140,28,59
やわよろ,40,ごうけつ,155,42,144,37,48
じゐごえ,40,ごうけつ,181,44,151,30,49
とけぺぎ,40,ごうけつ,167,40,141,29,48
ゆすぶぜ,40,ごうけつ,173,41,125,34,58
でせぴぱ,40,ごうけつ,195,39,137,36,36
ひるぞの,40,ごうけつ,193,40,138,34,42
